Date,Close,High,Low,Open,Volume,Daily_Return,Lag_1,Lag_3,Lag_7,Lag_30,MA_7,MA_30,EMA_7,EMA_30,ROC_7,ROC_30,Rolling_STD_7,Historical_Volatility_7,Historical_Volatility_30,Price_Range
2015-01-31,217.4640045166016,233.5039978027344,216.3090057373047,226.4409942626953,23348200.0,-0.03957601154633905,226.4250030517578,233.9149932861328,247.8470001220703,314.2489929199219,243.1404288155692,246.60033264160157,233.47531406595914,249.197909801989,-0.12258770770073635,-0.3079882213910019,20.663674813382606,1.1308056289931103,1.4320689473654304,17.194992065429716
2015-02-01,226.9720001220703,231.57400512695312,212.01499938964844,216.86700439453125,29128500.0,0.043722158187070814,217.4640045166016,233.51300048828125,253.718002319336,315.0320129394531,239.31957135881697,243.66499888102214,231.84948557998695,247.76398014522005,-0.10541625723350323,-0.2795271883505608,20.853717110764556,1.1826978779503357,1.443542641937085,19.559005737304688
2015-02-02,238.22900390625,242.1750030517578,222.65899658203125,226.49099731445312,30612100.0,0.04959644263664864,226.9720001220703,226.4250030517578,273.4729919433594,281.0820007324219,234.2847159249442,242.23656565348307,233.4443651615527,247.14882038786715,-0.12887557117307202,-0.15245727835474643,14.52899353636679,1.060245804964312,1.410633514577872,19.516006469726562
2015-02-03,227.2680053710937,245.95700073242188,224.4830017089844,237.45399475097656,40783700.0,-0.04601034448126973,238.22900390625,217.4640045166016,263.4750061035156,264.19500732421875,229.11228724888392,241.00566558837892,231.90027521393796,245.86618716097854,-0.13742100728217355,-0.13977176301370609,6.787647806905347,1.0723534132875463,1.4042767755797163,21.47399902343747
2015-02-04,226.85299682617188,230.05799865722656,221.11300659179688,227.5110015869141,26594300.0,-0.0018260755368718629,227.2680053710937,226.9720001220703,233.9149932861328,274.4739990234375,228.10343061174666,239.41829884847004,230.63845561699645,244.6395297200233,-0.030190439529981128,-0.17349913786624005,6.472336549209268,0.7351682002747307,1.3964052179291357,8.944992065429688
2015-02-05,217.11099243164065,239.40499877929688,214.7250061035156,227.6649932861328,22516400.0,-0.04294412915336587,226.85299682617188,238.22900390625,233.51300048828125,286.1889953613281,225.76028660365515,237.1156987508138,227.2565898206575,242.86349505625668,-0.07024023511472,-0.24137197463680593,7.1237259262403505,0.7867416183714365,1.392591229860905,24.67999267578128
2015-02-06,222.26600646972656,230.509994506836,216.23199462890625,216.92300415039065,24435300.0,0.023743680503459652,217.11099243164065,227.2680053710937,226.4250030517578,294.3370056152344,225.16614423479353,234.7133321126302,226.00894398292476,241.53462482486768,-0.01836809771878667,-0.24485877674423673,7.231665737686664,0.7969580882127524,1.391194365199783,14.277999877929744
2015-02-07,227.7539978027344,230.2989959716797,222.60699462890625,222.63299560546875,21604200.0,0.024691096133746093,222.26600646972656,226.85299682617188,217.4640045166016,283.3489990234375,226.63614327566964,232.86016540527345,226.44520743787717,240.64555211376234,0.047318144945442064,-0.19620680296140558,6.4035105689393355,0.7455900202401736,1.390799948103816,7.6920013427734375
2015-02-08,223.41200256347656,229.43800354003903,221.07699584960932,227.6929931640625,17145200.0,-0.01906440844572399,227.7539978027344,217.11099243164065,226.9720001220703,290.4079895019531,226.12757219587053,230.62696584065756,225.68690621927703,239.5337102072923,-0.01568474330172487,-0.23069608743676107,6.51282654136431,0.695047317266958,1.387516461053793,8.361007690429716
2015-02-09,220.1100006103516,223.9770050048828,217.0189971923828,223.38900756835932,27791300.0,-0.01477987715627227,223.41200256347656,222.26600646972656,238.22900390625,274.7959899902344,223.53914315359933,228.8040995279948,224.29267981704567,238.28056765265097,-0.07605708372532494,-0.1990057765465435,4.0284037646266615,0.5454416092884691,1.3772709754744694,6.9580078125
2015-02-10,219.8390045166016,221.8070068359375,215.33200073242188,220.2819976806641,21115100.0,-0.0012311848303054873,220.1100006103516,227.7539978027344,227.2680053710937,265.6600036621094,222.4778573172433,227.2767328898112,223.17926099193465,237.0907893858091,-0.03268828290353354,-0.172479855882962,3.8572559429371887,0.45901054242674444,1.373455773316765,6.475006103515625
2015-02-11,219.1849975585937,223.406005859375,218.07400512695312,219.73199462890625,17201900.0,-0.0029749359511792584,219.8390045166016,223.41200256347656,226.85299682617188,267.7959899902344,221.38242885044642,225.65636647542317,222.18069513359944,235.93557700985974,-0.033801622085045,-0.18152248072651633,3.477831590766671,0.45868019766690926,1.372809657694458,5.332000732421875
2015-02-12,221.76400756835932,222.19900512695312,217.613998413086,219.2079925537109,15206200.0,0.011766361924821833,219.1849975585937,220.1100006103516,217.11099243164065,225.86099243164065,222.0471452985491,225.5198003133138,222.0765232422894,235.0212822071823,0.02143150415649142,-0.01813940875391018,2.9262995114941366,0.33402108524746743,1.2581695734481506,4.585006713867131
2015-02-13,235.427001953125,240.25900268554688,221.26199340820312,221.968994140625,42744400.0,0.061610513511999976,221.76400756835932,219.8390045166016,222.26600646972656,178.10299682617188,223.92728751046317,227.43060048421225,225.4141429199983,235.0474576746625,0.05921281302721848,0.3218587342631929,5.853880389841564,0.5302349168114106,1.0129234839808239,18.99700927734375
2015-02-14,257.3210144042969,259.8080139160156,235.5279998779297,235.5279998779297,49732500.0,0.09299703207166998,235.427001953125,219.1849975585937,227.7539978027344,209.843994140625,228.1511470249721,229.01316782633464,233.39086079107295,236.48446133463892,0.12981996753871017,0.22624912596667213,14.031024276713024,0.8114028472088066,0.8688724511080312,24.280014038085938
2015-02-15,234.8249969482422,265.6109924316406,227.6840057373047,257.5069885253906,56552400.0,-0.08742394206758974,257.3210144042969,221.76400756835932,223.41200256347656,208.0970001220703,229.78157479422433,229.9041010538737,233.74939483036525,236.3773991161617,0.05108496523826167,0.12844008712520205,14.051634383696149,1.1013935262296426,0.9290932830010711,37.92698669433594
2015-02-16,233.843002319336,239.52099609375,229.02200317382807,234.8249969482422,28153700.0,-0.004181814720187749,234.8249969482422,235.427001953125,220.1100006103516,199.259994506836,231.7434321812221,231.05686798095704,233.77279670260793,236.21388964539878,0.062391539098194615,0.17355720548970277,13.420781327339522,1.0903307162951894,0.9138512448267524,10.498992919921932
2015-02-17,243.6100006103516,245.7749938964844,232.31399536132807,233.4219970703125,27363100.0,0.04176733190278581,233.843002319336,257.3210144042969,219.8390045166016,210.3390045166016,235.13928876604353,232.16590118408203,236.23209767954384,236.6910580947506,0.1081291108737481,0.15817796689783226,12.904013479443147,1.1072717543658765,0.9057269994911383,13.460998535156335
2015-02-18,236.3260040283203,244.25100708007807,232.33999633789065,243.77999877929688,25200800.0,-0.02990023629482219,243.6100006103516,234.8249969482422,219.1849975585937,214.86099243164065,237.58800397600447,232.88140157063802,236.25557426673797,236.66750621949703,0.07820337459521798,0.09990185446764555,10.83187291585238,1.1518434645180806,0.9123777068229092,11.911010742187415
2015-02-19,240.2830047607422,242.6719970703125,235.5919952392578,236.41000366210932,18270500.0,0.016743822791281504,236.3260040283203,233.843002319336,221.76400756835932,211.31500244140625,240.23357500348772,233.8470016479492,237.26243189023901,236.90076418989997,0.08350767735235087,0.13708445678090575,8.285003215463272,1.1522437849246185,0.910209309537802,7.0800018310546875
2015-02-20,243.7790069580078,247.1009979248047,239.2989959716797,240.25100708007807,23876700.0,0.014549519225243168,240.2830047607422,243.6100006103516,235.427001953125,226.89700317382807,241.42671857561385,234.40973510742188,238.89157565718122,237.34452178784244,0.03547598591322898,0.07440382000658796,8.076194151652743,1.07949885614986,0.8770863242846765,7.802001953125
2015-02-21,244.53399658203125,255.32000732421875,243.1840057373047,243.7519989013672,12284200.0,0.003097024774383117,243.7790069580078,236.3260040283203,257.3210144042969,233.406005859375,239.6000017438616,234.78066813151042,240.30218088839374,237.80835887133853,-0.04969286263645356,0.04767653977747588,4.564678664973104,0.7994779549303098,0.8723381752834879,12.136001586914062
2015-02-22,235.9770050048828,246.3919982910156,233.8509979248047,244.54400634765625,19527000.0,-0.03499305494022753,244.53399658203125,240.2830047607422,234.8249969482422,232.8789978027344,239.7645743233817,234.8839350382487,239.220886917516,237.69020700898656,0.004905815273552605,0.013303076839813022,4.380897806038492,0.5158935405924534,0.882037551498539,12.541000366210909
2015-02-23,238.8919982910156,240.10899353027344,232.42100524902344,235.9949951171875,16400000.0,0.012352870086102197,235.9770050048828,243.7790069580078,233.843002319336,247.8470001220703,240.48585946219308,234.58543497721354,239.1386647608909,237.7677419304078,0.02159139218023154,-0.03613116893343138,3.5872041502770333,0.5195706756685521,0.8536499059012149,7.68798828125
2015-02-24,238.7350006103516,239.9010009765625,236.4019927978516,238.9980010986328,14200400.0,-0.000657191039411642,238.8919982910156,244.53399658203125,243.6100006103516,253.718002319336,239.78943089076452,234.08600158691405,239.03774872325607,237.83014571621064,-0.020011493730905716,-0.0590537587873895,3.3446066339289255,0.4069754404752011,0.8492693731048485,3.499008178710909
2015-02-25,237.47000122070312,239.33999633789065,235.52999877929688,238.88999938964844,11496200.0,-0.005298759655745333,238.7350006103516,235.9770050048828,236.3260040283203,273.4729919433594,239.9528590611049,232.88590189615886,238.64581184761784,237.80691058746822,0.004840758836872405,-0.13165099217590392,3.1705895405839954,0.3401951106968667,0.8001134844350657,3.8099975585937784
2015-02-26,236.42599487304688,237.7100067138672,234.2570037841797,237.3370056152344,13619400.0,-0.00439637150919947,237.47000122070312,238.8919982910156,240.2830047607422,263.4750061035156,239.40185764857702,231.98426818847656,238.0908576039751,237.71781925105395,-0.016051946293645925,-0.10266253194370012,3.4283228438729414,0.3132071372066282,0.7913742424921305,3.4530029296875
2015-02-27,253.8280029296875,256.65301513671875,236.43600463867188,236.43600463867188,44013900.0,0.07360446158209011,236.42599487304688,238.7350006103516,243.7790069580078,233.9149932861328,240.8374285016741,232.64803517659504,242.0251439354032,238.75718593999807,0.04122174463287842,0.08512925727337373,6.3907298879672885,0.6326423461084065,0.7310771892914215,20.217010498046875
2015-02-28,254.26300048828125,254.69200134277344,249.47900390625,253.5200042724609,13949300.0,0.0017137492852363767,253.8280029296875,237.47000122070312,244.53399658203125,233.51300048828125,242.22728620256697,233.3397018432617,245.08460807362272,239.75756107214536,0.039785894976718694,0.08886014892794525,8.145632854475753,0.6331396099652026,0.7308709357950538,5.2129974365234375
2015-03-01,260.2019958496094,261.6600036621094,245.93299865722656,254.2830047607422,25213700.0,0.02335768613570588,254.26300048828125,236.42599487304688,235.9770050048828,226.4250030517578,245.68799918038505,234.4656016031901,248.8639550176194,241.07655686423985,0.10265826894542252,0.14917518976528665,9.985793569207697,0.5357688557141642,0.7234913560162649,15.727005004882812
2015-03-02,275.6700134277344,276.3009948730469,258.31298828125,260.35699462890625,40465700.0,0.059446191131697246,260.2019958496094,253.8280029296875,238.8919982910156,217.4640045166016,250.94200134277344,236.40580190022786,255.56546962014812,243.3083927715621,0.15395247810651314,0.26765813055139076,14.478721274248517,0.6253490364842762,0.7285546280592725,17.988006591796875
2015-03-03,281.7019958496094,285.7959899902344,268.1610107421875,275.0459899902344,50461300.0,0.02188116997881684,275.6700134277344,254.26300048828125,238.7350006103516,226.9720001220703,257.0801435198103,238.23013509114583,262.0996011775134,245.7853994217587,0.17997777925066738,0.2411310456712903,17.278257473410854,0.5982137077378452,0.7192396121399356,17.634979248046875
2015-03-04,273.0920104980469,284.2250061035156,268.1260070800781,281.989990234375,41383000.0,-0.030564161697168357,281.7019958496094,260.2019958496094,237.47000122070312,238.22900390625,262.1690019880022,239.3922353108724,264.84770350764677,247.54711626539023,0.15000635488369274,0.14634241011861215,15.715045484489076,0.6944215273923804,0.7150976018658078,16.0989990234375
2015-03-05,276.1780090332031,281.6669921875,264.7690124511719,272.739013671875,41302400.0,0.011300215372570532,273.0920104980469,275.6700134277344,236.42599487304688,227.2680053710937,267.84786115373885,241.02256876627604,267.6802798890359,249.3942706375072,0.16813723965294858,0.2152084873638369,11.471556858736319,0.6686565588965803,0.690938421434368,16.897979736328125
2015-03-06,272.7229919433594,277.6080017089844,270.0150146484375,275.6000061035156,28918900.0,-0.012510109338315867,276.1780090332031,281.7019958496094,253.8280029296875,226.85299682617188,270.5471452985491,242.55156860351562,268.9409579026168,250.89934943143317,0.07444012794327493,0.20220140689759458,9.710709139156313,0.550628234415759,0.6936841825550527,7.592987060546875
2015-03-07,276.260986328125,277.85400390625,270.13299560546875,272.29400634765625,17825900.0,0.012972849702017175,272.7229919433594,273.0920104980469,254.26300048828125,217.11099243164065,273.68971470424106,244.52323506673176,270.7709650089938,252.53558406992943,0.0865166610855661,0.2724412671786218,6.634903186107581,0.5454772681617575,0.6702501100163262,7.72100830078125
2015-03-08,274.35400390625,277.8580017089844,272.56500244140625,276.4330139160156,22067900.0,-0.006902829267430466,276.260986328125,276.1780090332031,260.2019958496094,222.26600646972656,275.71143014090404,246.2595016479492,271.6667247333079,253.94322405936947,0.05438854537003679,0.2343498147280476,3.0011950072306375,0.5517860745248223,0.6700905552569544,5.292999267578125
